text,Prediction Probabilities
"Multivariate Granger causality between CO2 emissions, energy consumption, FDI (foreign direct investment) and GDP (gross domestic product): Evidence from a panel of BRIC (Brazil, Russian Federation, India, and China) countries Abstract: This paper addresses the impact of both economic growth and financial development on environmental degradation using a panel cointegration technique for the period between 1980 and 2007, except for Russia (1992–2007). In long-run equilibrium, CO2 emissions appear to be energy consumption elastic and FDI inelastic, and the results seem to support the Environmental Kuznets Curve (EKC) hypothesis. The causality results indicate that there exists strong bidirectional causality between emissions and FDI and unidirectional strong causality running from output to FDI. The evidence seems to support the pollution haven and both the halo and scale effects. Therefore, in attracting FDI, developing countries should strictly examine the qualifications for foreign investment or to promote environmental protection through the coordinated know-how and technological transfer with foreign companies to avoid environmental damage. Additionally, there exists strong output-emissions and output-energy consumption bidirectional causality, while there is unidirectional strong causality running from energy consumption to emissions. Overall, the method of managing both energy demand and FDI and increasing both investment in the energy supply and energy efficiency to reduce CO2 emissions and without compromising the country’s competitiveness can be adopted by energy-dependent BRIC countries.",76.05
"Clean fuels for resource-poor settings: A systematic review of barriers and enablers to adoption and sustained use Background Access to, and sustained adoption of, clean household fuels at scale remains an aspirational goal to achieve sufficient reductions in household air pollution (HAP) in order to impact on the substantial global health burden caused by reliance on solid fuels. Aim and objectives To systematically appraise the current evidence base to identify: (i) which factors enable or limit adoption and sustained use of clean fuels (namely liquefied petroleum gas (LPG), biogas, solar cooking and alcohol fuels) in low- and middle-income countries; (ii) lessons learnt concerning equitable scaling-up of programmes of cleaner cooking fuels in relation to poverty, urban–rural settings and gender. Methods A mixed-methods systematic review was conducted using established review methodology and extensive searches of published and grey literature sources. Data extraction and quality appraisal of quantitative, qualitative and case studies meeting inclusion criteria were conducted using standardised methods with reliability checking. Findings Forty-four studies from Africa, Asia and Latin America met the inclusion criteria (17 on biogas, 12 on LPG, 9 on solar, 6 on alcohol fuels). A broad range of inter-related enabling and limiting factors were identified for all four types of intervention, operating across seven pre-specified domains (i.e. fuel and technology characteristics, household and setting characteristics, knowledge and perceptions, financial, tax and subsidy aspects, market development, regulation, legislation and standards, and programme and policy mechanisms) and multiple levels (i.e. household, community, national). All domains matter and the majority of factors are common to all clean fuels interventions reviewed although some are fuel and technology-specific. All factors should therefore be taken into account and carefully assessed during planning and implementation of any small- and large-scale initiative aiming at promoting clean fuels for household cooking. Conclusions Despite limitations in quantity and quality of the evidence this systematic review provides a useful starting point for the design, delivery and evaluation of programmes to ensure more effective adoption and use of LPG, biogas, alcohol fuels and solar cooking. Funding This review was funded by the Department for International Development (DfID) of the United Kingdom. The authors would also like to thank the Evidence for Policy and Practice Information and Co-ordinating Centre (EPPI-Centre) for their technical support.",51.54
"Adverse health impacts of cooking with kerosene: A multi-country analysis within the Prospective Urban and Rural Epidemiology Study Background Kerosene, which was until recently considered a relatively clean household fuel, is still widely used in low- and middle-income countries for cooking and lighting. However, there is little data on its health effects. We examined cardiorespiratory effects and mortality in households using kerosene as their primary cooking fuel within the Prospective Urban Rural Epidemiology (PURE) study. Methods We analyzed baseline and follow-up data on 31,490 individuals from 154 communities in China, India, South Africa, and Tanzania where there was at least 10% kerosene use for cooking at baseline. Baseline comorbidities and health outcomes during follow-up (median 9.4 years) were compared between households with kerosene versus clean (gas or electricity) or solid fuel (biomass and coal) use for cooking. Multi-level marginal regression models adjusted for individual, household, and community level covariates. Results Higher rates of prevalent respiratory symptoms (e.g. 34% [95% CI:15–57%] more dyspnea with usual activity, 44% [95% CI: 21–72%] more chronic cough or sputum) and lower lung function (differences in FEV1: −46.3 ml (95% CI: −80.5; −12.1) and FVC: −54.7 ml (95% CI: −93.6; −15.8)) were observed at baseline for kerosene compared to clean fuel users. The odds of hypertension was slightly elevated but no associations were observed for blood pressure. Prospectively, kerosene was associated with elevated risks of all-cause (HR: 1.32 (95% CI: 1.14-1.53)) and cardiovascular (HR: 1.34 (95% CI: 1.00-1.80)) mortality, as well as major fatal and incident non-fatal cardiovascular (HR: 1.34 (95% CI: 1.08-1.66)) and respiratory (HR: 1.55 (95% CI: 0.98-2.43)) diseases, compared to clean fuel use. Further, compared to solid fuel users, those using kerosene had 20–47% higher risks for the above outcomes. Conclusions Kerosene use for cooking was associated with higher rates of baseline respiratory morbidity and increased risk of mortality and cardiorespiratory outcomes during follow-up when compared to either clean or solid fuels. Replacing kerosene with cleaner-burning fuels for cooking is recommended.",95.52
"Effect of hydrogen supplementation on engine performance and emissions Abstract:Abstract Vehicular Pollution and environmental degradation are on the rise with increasing vehicles and to stop this strict regulation have been put on vehicular emissions. Also, the depleting fossil fuels are of great concern for energy security. This has motivated the researchers to invest considerable resources in finding cleaner burning, sustainable and renewable fuels. However renewable fuels independently are not sufficient to deal with the problem at hand due to supply constraints. Hence, advanced combustion technologies such as homogeneous charge compression ignition (HCCI), low-temperature combustion (LTC), and dual fuel engines are extensively researched upon. In this context, this work investigates dual fuel mode combustion using a constant speed diesel engine, operated using hydrogen and diesel. The engine is operated at 25, 50 and 75% loads and substitution of diesel energy with hydrogen energy is done as 0, 5, 10 and 20%. The effect of hydrogen energy share (HES) enhancement on engine performance and emissions is investigated. In the tested range, slightly detrimental effect of HES on brake thermal efficiency (BTE) and brake specific fuel consumption (BSFC) is observed. Comparision of NO and NO2 emissions is done to understand the non-thermal influence of H2 on the NOx emissions. Hence, HES is found beneficial in reducing harmful emissions at low and mid loads.",85.48
"Upcoming Power Crisis in India – Increasing Electricity Demand Abstract: In this world of modernization every country tries to increase their domestic production in order to increase GDP. India is one of them, in order to improve their economy with the help of make in India and similar schemes. In this development process, India is committed to sustainable development and minimal use of conventional energy resources. In order to reduce CO2and CFC emission India started to reduce fossil fuel dependency. It tries to convert their fossil fuel system into regenerative and renewable sources. India begins to install Solar and Wind power plants of huge capacity instead of their conventional thermal and nuclear power plants. With the emergence of new technologies such as Wireless charging systems, Electric Vehicles, Smart systems such as Smart Grid and Wireless Communication systems such as Internet of things (IoT). But here one thing is notable that due to these systems power consumption also increases, due to their heavy power ratings and lower efficiencies in case of Wireless systems (Charging and Communication). In 2018 India is closest to power demand and its supply but not greater or equal to the power demanded. India has announced that power production is surplus in current scenario. But due to introduction of these above systems lead to immense increase in power demand. If India has not taken any effective steps to increase their power production then it will suffers power crisis in upcoming decades. The new power plants have higher efficiencies, high durability and produces almost no emissions. India has considered 8% growth till 2020, but this consideration must have reviewed as soon as possible.In 2018-19 data says that India is 0.9% power deficit which is very good progress in power sector as in past data. But this percentage is going to increase in future. There is also increasing market for Electric Vehicles. Automobile manufacturing companies are trying to shift their production towards Electric Vehicles. Due to their high cost efficiencies, low vibrations as compared to engines, no emissions, less maintenance, Electric Vehicle is becoming popular these days. This ultimately results in tremendous increase in power demand. Mobile manufacturer companies always try to increase power capacity of Mobile Batteries in order to increase its backup and introduce the wireless charging feature. This also results in increase in power consumption. Intelligent home appliances are also introduced, these also consumes more power due to integration of remote control and advanced User Interfaces such as facial recognition. Voice control and Artificial Intelligence (AI) systems are also integrated to these devices. These systems are designed for higher capacities i.e. parallel processing and high speed processing to enable multitasking features. These systemsrequire more power than conventional systems.",89.8
"How do oil prices, macroeconomic factors and policies affect the market for renewable energy? Abstract The aim of this study is to determine the nature of any relationship between renewable energy investment, oil prices, GDP and the interest rate, using a time series approach. We concentrate on three countries with different relationships with the renewable energy sector, with Norway and the UK being oil-exporters for most of the sample and the USA an importer. Following estimation using a VAR model, the results provide evidence of considerable heterogeneity across the countries, with the USA and Norway having a strong relationship between oil prices and renewable energy and the UK no relationship. These results reflect the fact that the USA is predominantly an oil-importer during most of this sample and supports renewable energy relatively less than the other countries, so changes to renewable energy investment reflect other factors in the market such as the price of substitutes to a greater extent than countries where renewable energy receives more government support. Similarly with Norway, where due to its market orientated approach, there is some evidence of the macroeconomy affecting the renewable energy market. The main policy implications from this study are that in countries where there is little support for the renewable energy sector, investment will be more dependent on macroeconomic aspects as well as substitutes such as oil, therefore the authorities will need to potentially increase financial support when oil prices are low or when the economy is in a downturn to ensure investment in RE continues at a constant level.",72.21
"A novel renewable energy selection model for United Nations' sustainable development goals Abstract In 2015, the United Nations announced the new Sustainable Development Goals (SDGs) to safeguard the earth and end poverty as the new global sustainable development agenda. One of these SDGs, Goal #7, is about affordable and clean energy. Despite the importance, there are few tools that guide policy-makers in aligning their domestic policies with these SDGs. The paper addresses this research gap and introduces a numerical decision-support method for identifying the most suitable renewable energy source (RES). RES selection according to SDGs can be a challenge for decision makers. This article presents an integrated multi-criteria decision-making (MCDM) method that is based on hesitant fuzzy linguistic (HFL) term set. The decision criteria are weighed with HFL Analytic Hierarchy Process (AHP), and the most appropriate RES alternative is chosen with the HFL COmplex PRoportional ASsessment (COPRAS) technique. The value of the method is demonstrated on a case from Turkey, and a comparative analysis. This approach constitutes a novelty by proposing a numerical model for SDGs that combines AHP and COPRAS in a HFL environment with group decision-making for the first time. The method can help policy-makers in better structuring local energy policies with regard to global efforts in a developing country setting.",44.86
"A comprehensive indicator set for measuring multiple benefits of energy efficiency Abstract In this paper, we develop a quantitative indicator approach including 20 indicators to measure the multiple benefits of energy efficiency (MB-EE). The MB-EEs are classified into three groups: environmental (e.g. energy savings, emissions), economic (e.g. GDP, employment), and social (health, energy poverty) aspects. We explain the methodological approach, the underlying data sources and limitations. The indicator set has been applied to 29 countries (EU28 plus Norway) for the period 2000 to 2015, proving that it allows to conduct in-depth comparisons of developments and differences across Europe. The indicator set also supports the design of well-suited energy policies by allowing to take into account, on an informed basis, more of the multiple impacts of energy efficiency. For example, our analysis of the effect of energy savings for the period 2000 to 2015 in Germany shows GHG savings of about 158 MtCO2eq., about 30,000 avoided deaths due to less air pollution, a reduction of Germany's import dependency by 5.8 percentage points and a growth of GDP by around 0.3% per year for the period 2010 to 2015) as a consequence of improved energy efficiency. To conclude, the presented approach allows to comprehensively and regularly assess policies in terms of their MB-EEs.",69.82
"The energy metabolism of countries: Energy efficiency and use in the period that followed the global financial crisis Abstract This paper discusses how the deceleration of economic growth, that followed the financial crisis of 2008, influenced the energy efficiency, allocation and use of 18 European countries. By using a Multi-scale Integrated Analysis of Societal and Ecosystem Metabolism (MuSIASEM), the relationships between energy requirements, economic trends and population are investigated for the years 2008 and 2015. The analyses are performed for the entire society (Level N), for the household and the paid sectors (Level N-1) and for the agricultural, the industrial and the service activities (Level N-2). Results show that two main groups of countries performed the largest energy reductions, namely: the country most affected by the global financial crisis, such as Greece, Romania and Spain, where the total energy throughput decreased by −19.6%, −15.8% and −12.1%, respectively; and the countries, such as Ireland and United Kingdom, that experienced the largest energy intensity reductions (−38.7% and −19.2%), together with the highest GDP increases (+44.8% and +10.2%). By providing an overview of the relationships existing between socio-economic and energy variables, this paper contributes to the debate around growth and efficiency and can support the design of policies oriented to promote the achievement of a more sustainable and competitive economy.",68.29
"Asymmetric and extreme influence of energy price changes on renewable energy stock performance Abstract Promoting the development of renewable energy has become the key factor to solve the problems of energy and climate change issues. However, its development is largely constrained by the prices of traditional fossil energy. This paper explores the influence of various fossil energy price changes on renewable energy stock returns using a network approach. Specifically, a positive and negative returns network and value-at-risk (VaR) network are constructed separately for identifying the asymmetric and extreme information spillover. Our findings show the fossil energy–renewable energy network system has a relatively high level of interdependence. The electricity market behaves as the major contributor to the changes of renewable energy returns in the returns connectedness network, while oil and coal contribute most to the changes of renewable energy returns in the VaR connectedness network. The dynamic results show that the contributions of fossil energy price changes to renewable energy returns have strong time-varying pattern with high volatility over time. The total connectedness in the positive returns network is slightly stronger than that in the negative returns network for most of the time during our sample period.",80.79
