document,label
DIJ_G2B1_16.txt,Review
FPQ_G3B2_PMID29250819.txt,Clinical Trial
DEI_G2B1_23.txt,Study
OPQ_G6B3_PMID-30074894.txt,Study
ABC_G1B2_10.1016_j.enbuild.2019.07.030.txt,Method
LMN_G5B2_10.1098_rstb.2016.0138.txt,Study
FGO_G3B4_PMID28728061.txt,Study
DIK_G2B1_45.txt,Study
FGH_G3B2_PMID21257112.txt,Study
ABC_G1B3_10.1016_j.jclepro.2019.117685.txt,Method
ABC_G1B3_10.1016_j.enbuild.2019.109466.txt,Study
HOP_G6B3_PMID-31226628.txt,Study
DEI_G2B1_40.txt,Study
FGH_G3B4_Corpus ID10957565.txt,Study
FGH_G3B1_CorpusID205197447.txt,Study
FGP_G3B4_CorpusID45390694.txt,Study
FHP_G3B1_CorpusID27754852.txt,Study
LNS_G5B1_10.1098_rsta.2010.0292.txt,Review
MRT_G7B3_S0959652615018181.txt,Study
IJK_G4B1_CorpusID_3388621.txt,Study
DIJ_G2B2_28.txt,Study
FHQ_G3B3_PMID31622369.txt,Review
ABC_G1B3_10.1016_j.jclepro.2018.07.083.txt,Study
RST_G7B4_S0268005X16300133.txt,Method
RST_G7B4_S0959652614006441.txt,Study
RST_G7B4_S0360132314000110.txt,Study
HOQ_G6B2_PMID_26279174.txt,Study
DIJ_G2B3_48.txt,Interview
OPQ_G6B2_PMID_27609243.txt,Study
GHQ_G6B2_PMID_31433029.txt,Study
FGO_G3B2_PMID31397216.txt,Study
RST_G7B4_S002216941400701X.txt,Study
FPQ_G3B2_Corpus ID40016871.txt,Study
DEJ_G2B2_10.txt,Search
FGH_G3B4_PMID27566754.txt,Study
MRT_G7B3_S0022169412008232.txt,Study
ABC_G1B1_Corpus ID 212668818.txt,Study
ABC_G1B2_10.1016_j.scitotenv.2019.05.011.txt,Policy
FGP_G3B4_PMID31366335.txt,Study
ABC_G1B2_10.1016_j.energy.2018.08.215.txt,Method
DIJ_G2B1_36.txt,Interview
FHP_G3B4_PMID27084283.txt,Review
ABC_G1B3_10.1016_j.egypro.2019.02.206.txt,Study
RST_G7B4_S0301421599000592.txt,Study
FGH_G3B1_PMID26928678.txt,Study
ABC_G1B3_10.1016_j.erss.2018.04.029.txt,Study
FHQ_G3B4_PMID16670411.txt,Study
DIJ_G2B1_37.txt,Review
IJK_G4B2_CorpusID_27054982.txt,Interview
ABC_G1B1_10.1016_j.enpol.2011.02.062.txt,Study
FOQ_G3B3_PMID31692876.txt,Study
OPQ_G6B2_PMID_23380544.txt,Study
LMN_G5B1_10.1016_j.landurbplan.2010.08.017.txt,Tool
HOP_G6B1_PMID_28554033.txt,Study
FGP_G3B4_CorpusID19705189.txt,Diagnositc Tool
ABC_G1B3_10.1016_j.erss.2018.07.025.txt,Study
HOP_G6B3_PMID-22966734.txt,Study
DJK_G4B2_CorpusID_11116151.txt,Study
ABC_G1B2_10.1016_j.enpol.2019.110881.txt,Method
DEI_G2B3_50.txt,Diagnostic Tool
DIK_G2B1_44.txt,Study
EIJ_G4B1_CorpusID_4871997.txt,Study
LMN_G5B5_10.1016_j.agee.2016.08.019.txt,Method
GPQ_G6B1_PMID_24059784.txt,Treatment
IJK_G4B2_CorpusID_1077505.txt,Study
DEI_G2B3_47.txt,Study
ABC_G1B2_10.1016_j.enpol.2018.12.050.txt,Study
GHQ_G6B3_PMID-27879970.txt,Study
RST_G7B4_10.1016_j.uclim.2020.100599.txt,Study
LMN_G5B5_10.1038_nclimate2837 .txt,Study
ABC_G1B3_10.1016_j.watres.2020.116163.txt,Method
LMN_G5B4_10.1016_j.scitotenv.2020.138878.txt,Study
EJK_G4B2_CorpusID_11754690.txt,Study
FHP_G3B1_CorpusID25778770.txt,Study
MRT_G5B1_10.1038_nature10452.txt,Tool
EIJ_G4B3_CorpusID_18845439.txt,Interview
LNR_G5B3_10.1016_j.eneco.2019.06.025.txt,Study
ABC_G1B2_10.1016_j.techfore.2018.07.053.txt,Study
